date;ticker;stock;close;high;low;open;price_change;volume;volume_dollars
2019-11-29;'000003;Ｂ股指数;237.831;245.8888;235.4596;245.8888;-8.1271;337348;175275079.6
2019-11-28;'000003;Ｂ股指数;245.9581;248.6972;245.1516;248.095;-2.1589;122661;68709821.7
2019-11-27;'000003;Ｂ股指数;248.11700000000002;248.9601;246.1964;246.1964;1.742;171497;99817428.6
2019-11-26;'000003;Ｂ股指数;246.375;255.2171;245.5024;254.4366;-8.0383;421867;258094739.1
2019-11-25;'000003;Ｂ股指数;254.4133;255.1988;253.0309;253.0309;1.4973;204475;156600308.5
2019-11-22;'000003;Ｂ股指数;252.916;256.1804;252.4324;254.9084;-2.1125;152596;93535311.0
2019-11-21;'000003;Ｂ股指数;255.0285;256.0092;254.4469;255.9396;-0.9195;76396;42104932.3
2019-11-20;'000003;Ｂ股指数;255.94799999999998;257.0378;255.7684;256.6097;-0.9501;98684;55493084.3
2019-11-19;'000003;Ｂ股指数;256.8981;256.9283;254.4885;254.8065;2.0351;122850;68625348.1
2019-11-18;'000003;Ｂ股指数;254.863;255.86599999999999;254.1997;255.1578;-0.3572;123765;66177819.4
2019-11-15;'000003;Ｂ股指数;255.2202;258.2375;255.2202;258.2375;-2.955;102341;46860464.1
2019-11-14;'000003;Ｂ股指数;258.1752;258.9031;257.3804;258.2793;-0.4228;90500;49835805.5
2019-11-13;'000003;Ｂ股指数;258.598;259.3613;257.4849;259.3613;-0.9858;88116;46919217.9
2019-11-12;'000003;Ｂ股指数;259.5838;260.2913;257.9639;259.8813;-0.2781;112141;61103700.1
2019-11-11;'000003;Ｂ股指数;259.8619;263.6633;258.9147;263.6633;-3.7995;140703;78901702.0
2019-11-08;'000003;Ｂ股指数;263.6614;265.1831;263.6456;264.5537;-0.6831;121804;75859846.0
2019-11-07;'000003;Ｂ股指数;264.3445;264.3552;262.9589;263.063;1.21;102725;67390571.5
2019-11-06;'000003;Ｂ股指数;263.1345;264.7785;262.4916;264.6709;-1.5507;177359;95303036.0
2019-11-05;'000003;Ｂ股指数;264.6852;264.6852;263.0066;263.9999;0.9866;152427;93597488.5
2019-11-04;'000003;Ｂ股指数;263.6986;263.9403;261.6453;261.7818;1.7078;147880;96684073.1
2019-11-01;'000003;Ｂ股指数;261.9908;262.1152;259.8571;260.4457;1.4558;147423;85214757.9
2019-10-31;'000003;Ｂ股指数;260.535;262.5905;260.535;261.7451;-1.5092;133506;70262713.8
2019-10-30;'000003;Ｂ股指数;262.0442;263.2706;261.3568;262.9616;-1.1104;92934;50559074.8
2019-10-29;'000003;Ｂ股指数;263.1546;265.7896;262.6583;265.7896;-2.66;102308;68005021.2
2019-10-28;'000003;Ｂ股指数;265.8146;265.8404;263.881;263.881;2.2079;134842;83541883.7
2019-10-25;'000003;Ｂ股指数;263.6067;265.03;261.7566;264.6963;-1.1008;112026;85148635.7
2019-10-24;'000003;Ｂ股指数;264.7075;264.9048;263.6947;264.2825;0.3874;83737;43236273.1
2019-10-23;'000003;Ｂ股指数;264.3201;265.953;263.7487;265.6475;-1.3071;94626;61762906.2
2019-10-22;'000003;Ｂ股指数;265.6272;265.629;263.5679;263.5679;2.0223;112127;65759118.0
2019-10-21;'000003;Ｂ股指数;263.6049;264.003;262.6274;263.8477;-0.2154;125881;73678978.2
2019-10-18;'000003;Ｂ股指数;263.8203;267.5652;263.6577;267.1388;-3.3382;148586;97291884.3
2019-10-17;'000003;Ｂ股指数;267.1585;270.1486;266.1425;270.1218;-2.9536;128613;100784822.1
2019-10-16;'000003;Ｂ股指数;270.1121;270.7949;269.431;270.3576;0.1701;147559;88402554.3
2019-10-15;'000003;Ｂ股指数;269.942;271.0818;269.29;271.0818;-1.1914;83675;58745146.0
2019-10-14;'000003;Ｂ股指数;271.1334;272.2029;269.6492;269.6492;2.0076;155242;102081439.0
2019-10-11;'000003;Ｂ股指数;269.1258;269.3266;267.9476;268.6276;0.8241;119417;80137852.5
2019-10-10;'000003;Ｂ股指数;268.3017;269.3578;267.855;268.6178;-0.339;161559;132128201.2
2019-10-09;'000003;Ｂ股指数;268.6407;269.4022;267.7771;269.4022;-1.0041;86762;58242445.7
2019-10-08;'000003;Ｂ股指数;269.6448;271.2725;269.0465;270.7144;-1.0265;135353;101872838.8
2019-09-30;'000003;Ｂ股指数;270.6713;271.6664;270.0355;270.2155;0.2574;110883;71296713.6
2019-09-27;'000003;Ｂ股指数;270.4139;270.4464;268.9474;268.9881;1.1662;103511;61968448.5
2019-09-26;'000003;Ｂ股指数;269.2477;272.2716;268.6443;271.9741;-2.9496;213028;129580938.9
2019-09-25;'000003;Ｂ股指数;272.1973;273.6318;271.3813;273.6277;-1.5365;151110;84707945.5
2019-09-24;'000003;Ｂ股指数;273.7338;274.8047;272.819;272.9331;0.6596;153025;92027948.8
2019-09-23;'000003;Ｂ股指数;273.0742;273.3123;271.9238;273.3123;-0.2662;138687;88851209.8
2019-09-20;'000003;Ｂ股指数;273.3404;274.2399;272.4666;272.4666;0.947;222506;145386037.9
2019-09-19;'000003;Ｂ股指数;272.3934;272.3934;270.7508;271.53;0.7619;119640;78253827.7
2019-09-18;'000003;Ｂ股指数;271.6315;271.9799;270.7085;270.7085;0.9193;162975;90842389.7
2019-09-17;'000003;Ｂ股指数;270.7122;275.5043;270.4137;275.3695;-4.6073;221078;131760538.5
2019-09-16;'000003;Ｂ股指数;275.3195;276.4721;274.8511;275.5684;0.5497;148862;86181672.3
2019-09-12;'000003;Ｂ股指数;274.7698;276.212;273.4612;275.3982;-0.4934;167735;119199954.5
2019-09-11;'000003;Ｂ股指数;275.2632;276.1956;274.7099;274.8849;0.4389;258400;157557712.7
2019-09-10;'000003;Ｂ股指数;274.8243;275.2649;273.5314;275.2649;-0.3631;216815;128645315.7
2019-09-09;'000003;Ｂ股指数;275.1874;275.1893;272.1394;272.5743;3.8152;275155;156679075.2
2019-09-06;'000003;Ｂ股指数;271.3722;271.3905;270.1991;270.7516;0.7499;214683;120890024.5
2019-09-05;'000003;Ｂ股指数;270.6223;271.7475;267.7765;267.7765;3.7686;341893;213172859.4
2019-09-04;'000003;Ｂ股指数;266.8537;267.58299999999997;265.8089;266.3733;0.6185;188694;136227262.0
2019-09-03;'000003;Ｂ股指数;266.2352;266.732;265.2095;265.5824;0.817;174801;139211175.7
2019-09-02;'000003;Ｂ股指数;265.4182;265.8202;261.663;261.7014;3.7327;175978;132548209.5
2019-08-30;'000003;Ｂ股指数;261.6855;263.932;260.4594;263.0558;-1.0055;129082;79330084.0
2019-08-29;'000003;Ｂ股指数;262.691;263.1008;262.0067;262.4878;0.2308;160912;94336718.7
2019-08-28;'000003;Ｂ股指数;262.4602;263.7055;262.3041;263.5858;-0.8244;166183;110551376.7
2019-08-27;'000003;Ｂ股指数;263.2846;264.4697;261.3174;261.3174;2.082;258105;165047378.6
2019-08-26;'000003;Ｂ股指数;261.2026;262.5036;260.4187;262.5036;-3.4286;182856;114700255.2
2019-08-23;'000003;Ｂ股指数;264.6312;265.28700000000003;263.9364;264.5401;0.2955;137565;82428262.2
2019-08-22;'000003;Ｂ股指数;264.3357;265.4921;263.6611;264.8479;-0.4733;156787;92359579.1
2019-08-21;'000003;Ｂ股指数;264.809;265.4093;264.1985;264.7296;0.2066;204032;127704036.4
2019-08-20;'000003;Ｂ股指数;264.6024;266.839;264.3487;266.0287;-1.2958;177208;123755363.7
2019-08-19;'000003;Ｂ股指数;265.8982;265.8982;261.2323;261.2323;5.2909;219532;137009330.3
2019-08-16;'000003;Ｂ股指数;260.6073;261.4854;258.8989;258.9452;1.7324;174393;110673913.6
2019-08-15;'000003;Ｂ股指数;258.8749;259.0844;256.2001;257.9668;-1.6919;158787;102600741.0
2019-08-14;'000003;Ｂ股指数;260.5668;262.5117;260.4138;260.4138;0.8305;144939;98349868.2
2019-08-13;'000003;Ｂ股指数;259.7363;262.2651;259.2421;262.2651;-2.9327;129887;87804436.6
2019-08-12;'000003;Ｂ股指数;262.66900000000004;262.6826;259.6617;259.6617;2.8374;126007;85646309.8
2019-08-09;'000003;Ｂ股指数;259.8316;264.422;259.7443;263.1643;-3.1296;148634;95350064.0
2019-08-08;'000003;Ｂ股指数;262.9612;263.4293;260.9587;260.9587;2.7402;188132;122892446.1
2019-08-07;'000003;Ｂ股指数;260.221;262.7711;259.8797;260.3374;0.2424;199664;125601774.2
2019-08-06;'000003;Ｂ股指数;259.9786;261.8287;255.5919;260.5975;-3.6117;392700;242019635.7
2019-08-05;'000003;Ｂ股指数;263.5903;273.8658;263.1397;273.8658;-10.7355;332173;227655669.0
2019-08-02;'000003;Ｂ股指数;274.3258;275.9442;273.377;275.3937;-3.2667;213277;130946787.9
2019-08-01;'000003;Ｂ股指数;277.5925;281.8178;276.9075;281.8178;-3.8333;220016;170205658.7
2019-07-31;'000003;Ｂ股指数;281.4258;287.3033;281.4258;287.1051;-6.1504;252673;177445591.5
2019-07-30;'000003;Ｂ股指数;287.5762;288.5443;286.89099999999996;286.9272;0.3211;149473;87629090.7
2019-07-29;'000003;Ｂ股指数;287.2551;288.1401;286.2824;287.6967;-0.5241;88251;61615046.0
2019-07-26;'000003;Ｂ股指数;287.7792;288.0077;286.9799;287.4064;-0.0009;105886;77968563.8
2019-07-25;'000003;Ｂ股指数;287.7801;289.1353;286.6966;288.731;-0.9222;172092;133519797.3
2019-07-24;'000003;Ｂ股指数;288.7023;289.7143;287.4585;287.4585;1.3198;119963;85243372.7
2019-07-23;'000003;Ｂ股指数;287.3825;288.1016;286.7911;287.0974;0.1393;77796;55110356.5
2019-07-22;'000003;Ｂ股指数;287.2432;290.62;286.9118;290.1984;-2.7367;144063;80898543.9
2019-07-19;'000003;Ｂ股指数;289.9799;291.1727;288.5075;288.5075;1.2892;122666;99861298.7
2019-07-18;'000003;Ｂ股指数;288.6907;289.7112;288.2981;289.4035;-1.8339;106144;77883691.1
2019-07-17;'000003;Ｂ股指数;290.5246;291.2974;289.9373;290.6059;-0.1976;90685;53609010.0
2019-07-16;'000003;Ｂ股指数;290.7222;291.8118;289.7861;291.3422;-0.9934;120906;78799765.7
2019-07-15;'000003;Ｂ股指数;291.7156;291.9373;288.485;290.1958;1.6333;138669;95801472.5
2019-07-12;'000003;Ｂ股指数;290.0823;290.1845;287.5566;287.5566;2.6355;193339;124505611.5
2019-07-11;'000003;Ｂ股指数;287.4468;289.7603;286.861;286.861;0.9694;154417;103540104.6
2019-07-10;'000003;Ｂ股指数;286.4774;290.776;285.4602;290.1077;-3.4586;183009;151836239.0
2019-07-09;'000003;Ｂ股指数;289.936;290.361;288.0423;288.6557;0.9745;142027;92273762.3
2019-07-08;'000003;Ｂ股指数;288.9615;296.4709;287.7929;296.4709;-7.6744;331539;245102947.7
2019-07-05;'000003;Ｂ股指数;296.6359;300.186;295.6148;299.6863;-3.1831;189143;185747141.1
2019-07-04;'000003;Ｂ股指数;299.819;301.3687;299.168;300.433;-0.5463;139763;109640362.3
2019-07-03;'000003;Ｂ股指数;300.3653;301.7901;299.4064;301.7901;-1.788;167164;108084535.2
2019-07-02;'000003;Ｂ股指数;302.1533;302.4665;300.9335;301.7415;0.4299;219952;144201727.2
2019-07-01;'000003;Ｂ股指数;301.7234;301.7234;298.2761;298.2761;4.8194;317637;211910420.7
2019-06-28;'000003;Ｂ股指数;296.904;297.1317;295.6605;296.7489;-0.1679;207311;152650381.2
2019-06-27;'000003;Ｂ股指数;297.0719;297.8984;295.3673;295.8102;1.2242;168932;121735663.5
2019-06-26;'000003;Ｂ股指数;295.8477;297.1697;295.8477;297.1303;-1.3651;166428;111140867.7
2019-06-25;'000003;Ｂ股指数;297.2128;298.3345;294.1834;297.9952;-0.9051;229463;176367007.3
2019-06-24;'000003;Ｂ股指数;298.1179;298.6911;297.1861;297.8325;0.3348;204221;155476864.3
2019-06-21;'000003;Ｂ股指数;297.7831;297.7831;293.1023;293.1023;4.8572;359921;255742310.2
2019-06-20;'000003;Ｂ股指数;292.9259;293.4148;289.6255;289.9308;3.2182;238063;156682626.3
2019-06-19;'000003;Ｂ股指数;289.7077;292.3329;289.2616;289.4057;1.9876;185944;125452069.6
2019-06-18;'000003;Ｂ股指数;287.7201;288.6047;287.1907;288.1216;-0.15;145550;75102539.1
2019-06-17;'000003;Ｂ股指数;287.8701;289.1725;287.4036;288.3003;-0.3001;170963;96378613.7
2019-06-14;'000003;Ｂ股指数;288.1702;291.4484;287.3422;289.1277;-0.5671;166502;132459485.0
2019-06-13;'000003;Ｂ股指数;288.7373;288.8557;286.3221;287.504;1.0804;157898;96484928.5
2019-06-12;'000003;Ｂ股指数;287.6569;288.9706;287.1005;288.6445;-1.3719;160645;100097860.3
2019-06-11;'000003;Ｂ股指数;289.0288;289.2128;281.6502;281.6502;7.7124;318533;201210859.8
2019-06-10;'000003;Ｂ股指数;281.3164;281.9451;279.9362;280.10400000000004;1.1914;118882;74104505.9
2019-06-06;'000003;Ｂ股指数;280.125;282.5177;280.0132;282.5177;-2.3412;154023;77692222.3
2019-06-05;'000003;Ｂ股指数;282.4662;284.0874;281.7706;281.8839;0.6866;179766;85533825.4
2019-06-04;'000003;Ｂ股指数;281.7796;285.3155;281.7575;284.0185;-2.1572;141878;76697985.5
2019-06-03;'000003;Ｂ股指数;283.9368;288.018;283.1518;284.7693;-4.1467;176857;114398236.1
2019-05-31;'000003;Ｂ股指数;288.0835;289.6905;287.9735;289.2749;-1.1839;140283;91739219.3
2019-05-30;'000003;Ｂ股指数;289.2674;289.8514;287.7598;289.5981;-2.1409;149962;93924151.7
2019-05-29;'000003;Ｂ股指数;291.4083;292.1488;290.1844;291.05;0.8812;147789;86973810.7
2019-05-28;'000003;Ｂ股指数;290.5271;293.6638;290.4213;290.4213;-0.124;380383;241969890.0
2019-05-27;'000003;Ｂ股指数;290.6511;291.1397;285.5937;285.5937;4.8773;164934;110037949.8
2019-05-24;'000003;Ｂ股指数;285.7738;288.61;284.9597;287.5042;-2.0725;168590;111980943.4
2019-05-23;'000003;Ｂ股指数;287.8463;291.6773;287.3678;291.6773;-3.6805;190383;110098000.9
2019-05-22;'000003;Ｂ股指数;291.5268;293.1862;290.6828;293.124;-1.5474;118710;65708142.9
2019-05-21;'000003;Ｂ股指数;293.0742;293.1788;289.6139;289.6139;3.4787;174918;108925008.5
2019-05-20;'000003;Ｂ股指数;289.5955;292.0224;288.5737;291.8433;-3.089;237453;158215320.5
2019-05-17;'000003;Ｂ股指数;292.6845;298.8999;292.4476;298.5021;-5.8548;230852;151529736.5
2019-05-16;'000003;Ｂ股指数;298.5393;299.0522;297.7576;298.3935;0.2132;148893;114345471.7
2019-05-15;'000003;Ｂ股指数;298.3261;298.8081;294.5009;294.5009;3.8322;167442;120310094.4
2019-05-14;'000003;Ｂ股指数;294.4939;296.4768;294.3633;295.5567;-1.758;168400;110148367.5
2019-05-13;'000003;Ｂ股指数;296.2519;298.2133;296.0842;298.2133;-3.32;168367;111617236.1
2019-05-10;'000003;Ｂ股指数;299.5719;299.7412;294.6593;294.6593;5.176;309682;188395006.6
2019-05-09;'000003;Ｂ股指数;294.3959;295.6064;293.8014;294.425;-0.3893;190889;123650634.3
2019-05-08;'000003;Ｂ股指数;294.7852;298.7688;294.1784;296.5461;-3.3632;272731;185870429.2
2019-05-07;'000003;Ｂ股指数;298.1484;300.2624;296.0342;296.1805;2.2559;262687;166420516.0
2019-05-06;'000003;Ｂ股指数;295.8925;307.5514;294.0391;307.5514;-15.8608;669581;438166162.8
2019-04-30;'000003;Ｂ股指数;311.7533;312.5787;309.9352;309.9352;1.6659;209084;132714455.1
2019-04-29;'000003;Ｂ股指数;310.0874;312.6106;308.9145;312.3913;-2.4089;433243;251764478.6
2019-04-26;'000003;Ｂ股指数;312.4963;313.5862;311.6295;311.8896;0.1847;308775;174509590.2
