;ticker;name_b;ticker_a;name_a;ticker_en;shares_outstanding_a;shares_outstanding_b;shares_outstanding_other;type_other;company_name_en;company_name_cn;latest_market_cap;avg_volume;avg_volume_usd;industry_en;industry_update;industry
0;900901;云赛B股;600602;云赛智联;ysbg;1033.4637;293.3705;40.8383;preferred A;Inesa Intelligent Tech ;云赛智联股份有限公司 ;6117260762.02;12795609.5294118;8286008;Information Technology;计算机;软硬件产品和综合解决方案 
1;900902;市北B股;600604;市北高新;sbbg;1407.4548;465.85;0;NA;Shanghai Shibei Hi-tech;上海市北高新股份有限公司;5093268860.5;30708222.7105263;16415028.6052632;Materials;建筑和工程;房地产
2;900903;大众B股;600611;大众交通;dzbg;1563.3164;800.8065;0;NA;Dazhong Transportion Group;大众交通(集团)股份有限公司;7526781842.15;12723095.8421053;7310500.23684211;Industrials;公路港口航运;道路运输业
3;900904;神奇B股;600613;神奇制药;sqbg;479.32;54.7517;0;NA;Shanghao Shenqi Pharmaceutical;上海神奇制药投资管理股份有限公司;3302895806.35;2647034.36842105;3012195.94736842;Health Care;医药生物;医药制造业
4;900905;老凤祥B;600612;老凤祥;lfxb;317.1096;206.0081;0;NA;Lao Feng Xiang;老凤祥股份有限公司;12233152853;6544934.18421053;23108818.2631579;Consumer Discretionary;休闲品和奢移品;其他制造业
5;900907;鹏起B股;600614;鼎立股份;stpqb;1511.4877;241.2861;0;NA;Pengqi Technology Development;鹏起科技发展股份有限公司;1296331314.52;25864709.030303;15509171.2121212;Materials;综合类;有色金属冶炼及压延加工
6;900908;氯碱B股;600618;氯碱化工;ljbg;749.84;406.56;0;NA;Shanghai Chlor-Alkali Chemical;上海氯碱化工股份有限公司;4805747361.46;16337768.5;11840656.6842105;Materials;基础化工;化学原料和化学制品制造业
7;900909;华谊B股;600623;华谊集团;hybg;1862.1968;243.1;0;NA;Shanghai Huayi Group;上海华谊集团股份有限公司;9283003334.77;7713764.44736842;7168178.15789474;Materials;基础化工;化工行业
8;900910;海立B股;600619;海立股份;hlbg;582.141;284.1696;16.9896;preferred A;Shanghai Highly Group ;上海海立(集团)股份有限公司;4399565332.01;14422728.8378378;12413270.3783784;Consumer Discretionary;家用电器;通用设备制造业
9;900911;金桥B股;600639;浦东金桥;jqbg;850.2367;272.1762;0;NA;Shanghai Jinqiao Development;上海金桥出口加工区开发股份有限公司;8261706980.67;5667473.94736842;7503473.63157895;Real Estate;房地产;房地产业
10;900912;外高B股;600648;外高桥;wgbg;934.7916;200.5575;0;NA;Shanghai Waigaoqiao Development;上海外高桥集团股份有限公司;10868002671;4993357.05263158;7438056.28947368;Real Estate;批发和零售贸易;房地产
11;900913;国新B股;600617;国新能源;gxbg;974.9143;109.7493;0;NA;Shanxi Guoxin Energy;山西省国新能源股份有限公司;3017818030.7;3357509.78947368;2578356.81578947;Materials;基础化工;公用事业
12;900914;锦投B股;600650;锦江投资;jtbg;390.5601;161.05;0;NA;Shanghai Jinjiang Investment;上海锦江国际实业投资股份有限公司;3691107305.14;3679002;4608575.55263158;Industrials;公路港口航运;道路运输业
13;900915;中路B股;600818;中路股份;zlbg;237.9579;83.49;0;NA;Zhonglu Co;中路股份有限公司;1494360544.82;5534298.60606061;6895991.63636364;Consumer Discretionary;交运设备;铁路、船舶、航空航天和其他运输设备制造业
14;900916;凤凰B股;600679;金山开发;fhbg;230.5989;171.6;0;NA;Shanghai Phoenix Enterprise ;上海凤凰企业(集团)股份有限公司;1373989830.65;9336428.13157895;8104855.26315789;Consumer Discretionary;交运设备;文教休闲
15;900917;海欣B股;600851;海欣股份;hxbg;738.2061;468.8506;0;NA;Shanghai Haixin Group;上海海欣集团股份有限公司;3434866669.46;11162839;7125225.31578947;Health Care;医药生物;纺织业
16;900918;耀皮B股;600819;耀皮玻璃;ypbg;747.4161;187.5;0;NA;SYP Glass Group;上海耀皮玻璃集团股份有限公司;2937029668.59;5106552.7631579;3194965.89473684;Materials;非金属类建材;非金属矿物制品业
17;900919;绿庭B股;600695;绿庭投资;ltbg;366.4672;344.6649;0;NA;Shanghai Greencourt Investment ;上海绿庭投资控股集团股份有限公司;1703060398.74;13263894.8;6567798.6;Financials;银行和金融服务;资本市场服务
18;900920;上柴B股;600841;上柴股份;scbg;521.8925;344.7973;0;NA;Shanghai Diesel Engine;上海柴油机股份有限公司;2979095139.92;8179925.52631579;5917488.13157895;Industrials;机械;通用设备制造业
19;900921;丹科B股;600844;丹化科技;dkbg;822.7306;193.7936;0;NA;Danhua Chemical Technology;丹化化工科技股份有限公司;2162347720.36;8411721.16666667;3525946.36666667;Materials;基础化工;化学原料和化学制品制造业
20;900922;三毛B股;600689;上海三毛;smbg;152.2041;48.7872;0;NA;Shanghai Sanmao Enterprise ;海三毛企业(集团)股份有限公司;1040556201.18;3517146.89473684;3717654.15789474;Consumer Discretionary;纺织和服装;纺织业
21;900923;百联B股;600827;百联股份;blbg;1604.4499;179.7182;0;NA;Shanghai Bailian Group;上海百联集团股份有限公司;11486370498.7;7702215.21052632;10418543.5;Consumer Discretionary;批发和零售贸易;零售业
22;900924;上工B股;600843;上工申贝;sgbg;304.6459;243.9438;0;NA;Shang Gong Group;上工申贝(集团)股份有限公司;1920457981.06;7649301.73684211;7044405.42105263;Industrials;机械;专用设备制造业
23;900925;机电B股;600835;上海机电;jdbg;806.5043;216.235;0;NA;Shanghai Mechanical & Electrical;上海机电股份有限公司;10755376213.6;5844779.15789474;11735109.1578947;Industrials;机械;通用设备制造业
24;900926;宝信B;600845;宝信软件;bxb;833.0788;297.44;9.9815;preferred A;Shanghai Baosight Software;上海宝信软件股份有限公司;14668881807.3;18781752;33937033.3947368;Information Technology;计算机;软件和信息技术服务业
25;900927;物贸B股;600822;上海物贸;wmbg;396.1479;99.825;0;NA;Shanghai Material Trading;上海物资贸易股份有限公司;2225349571.94;9049158.47368421;8155100.10526316;Consumer Discretionary;批发和零售贸易;批发业
26;900928;临港B股;600848;自仪股份;lgbg;788.0266;107.1455;1206.8961;preferred A;Shanghai Lingang Holdings;上海临港控股股份有限公司;20364048482.1;9280375.44117647;15047592.0294118;Real Estate;房地产;房地产业
27;900929;锦旅B股;NA ;NA ;jlbg;0;66;66.5563;preferred A;Shanghai Jinjiang Travel;上海锦江国际旅游股份有限公司;1472423766.62;1666086.86842105;4207745.55263158;Consumer Discretionary;社会服务;商务服务业
28;900932;陆家B股;600663;陆家嘴;ljbg;2933.4614;1100.736;0;NA;Shanghai Lujiazui Development ;上海陆家嘴金融贸易区开发股份有限公司;31484569571;22480336.7777778;31795251.5277778;Real Estate;房地产;房地产业
29;900933;华新B股;600801;华新水泥;hxbg;1361.8799;734.72;0;NA;Huaxin Cement;华新水泥股份有限公司;27423842480.3;33950397.7631579;50810440.9473684;Materials;非金属类建材;非金属矿物制品业
30;900934;锦江B股;600754;锦江股份;jjbg;801.9364;156;0;NA;Shanghai Jinjiang Hotels;上海锦江国际酒店发展股份有限公司;12421994517.4;5808425.2631579;13468837.7368421;Consumer Discretionary;社会服务;旅游酒店
31;900936;鄂资B股;600295;鄂尔多斯;ezbg;612;420;395.9471;preferred A;Inner Mongolia Eerduosi Resourses;内蒙古鄂尔多斯资源股份有限公司;7263235664.46;10230199.2631579;10580140.9210526;Consumer Discretionary;纺织和服装;钢铁行业
32;900937;华电B股;600726;华电能源;sthdb;1534.6752;432;0;NA;Huadian Energy;华电能源股份有限公司;1620762363.7;10282496.8684211;3499720.65789474;Utilities;公用事业;电力、热力生产和供应业
33;900938;天海B;600751;天津海运;hkb;2573.1891;326.1487;0;NA;Tianjin Tianhai Investment;天津天海投资发展股份有限公司;5983665203.84;18273987.7931035;8568131.55172414;Consumer Discretionary;批发和零售贸易;水上运输业
34;900939;汇丽B;NA ;NA ;hlb ;0;88;93.5;preferred A;Shanghai Huili Building Materials;上海汇丽建材股份有限公司;882117769.5;7664499.73684211;9055466.81578947;Materials;非金属类建材;建筑装饰和其他建筑业
